GeneName	Lung_1	Lung_2	Lymph_1	Lymph_2	Lymph_3
LINC01672	0	3	15	3	2
ENSG00000284744	4	1	3	2	0
CAMTA1-DT	0	0	1	1	1
CAMTA1	196	137	190	133	136
ENSG00000227950	0	0	0	3	0
ENSG00000237365	0	4	8	0	0
RNU1-8P	1	0	8	2	1
CAMTA1-IT1	0	2	8	11	12
CAMTA1-AS2	0	3	12	5	4
CAMTA1-AS1	0	0	5	0	3
ENSG00000270171	7	1	24	3	9
ENSG00000270035	0	0	5	0	0
ENSG00000269978	0	0	3	0	0
VAMP3	250	246	106	159	102
ENSG00000269925	7	11	10	14	11
PER3	205	120	137	67	65
ENSG00000236266	1	0	5	0	2
UTS2	20	1	7	5	1
TNFRSF9	19	0	60	5	7
ENSG00000270330	0	0	7	1	0
PARK7	112	118	124	133	114
Y_RNA	0	0	0	0	0
ENSG00000284747	41	22	30	16	29
ENSG00000284716	0	3	3	5	0
ERRFI1	4883	4578	11319	22020	18902
ERRFI1-DT	19	14	47	29	16
RPL7AP18	0	0	11	0	4
ENSG00000229305	0	0	12	0	0
ENSG00000288816	0	0	7	2	0
LINC01714	16	4	13	8	10
RNU1-7P	0	0	0	0	0
ENSG00000233645	1	0	7	0	10
RNU6-991P	0	0	0	0	0
SLC45A1	9	11	47	18	4
Y_RNA	0	0	2	0	0
RERE	2755	2830	1124	2146	1678
RERE-AS1	6	3	26	7	9
ENSG00000221083	0	0	3	0	0
ENSG00000270282	0	0	1	3	3
RPL7P11	1	1	8	2	2
RPL7P7	37	32	3	13	20
Y_RNA	12	0	3	0	8
ENSG00000226545	0	0	3	0	0
ENSG00000228423	4	11	2	9	5
RPL23AP19	0	0	3	1	0
ENO1	1436	1814	2938	4075	3216
MIR6728	0	0	1	1	0
ENO1-AS1	0	0	2	8	1
RNU6-304P	0	0	1	0	1
HMGN2P17	2	0	2	2	3
ENSG00000232208	0	0	10	3	0
ENSG00000232663	0	0	1	0	0
CA6	1	6	34	14	15
ENSG00000290109	0	0	13	0	4
RN7SL451P	0	0	1	0	0
SLC2A7	0	0	38	12	7
SLC2A5	50	78	132	60	66
ENSG00000252404	1	0	1	0	0
GPR157	875	1141	757	1385	1257
MIR34AHG	348	395	250	437	335
MIR34A	0	0	0	0	0
ENSG00000289914	86	101	63	116	101
LNCTAM34A	27	33	52	27	15
H6PD	4753	4917	2083	4882	3923
SPSB1	346	524	199	292	204
ENSG00000284652	0	0	16	7	9
LINC02606	3	9	16	16	5
RNA5SP40	0	1	3	1	0
ENSG00000235263	0	0	3	1	0
SLC25A33	24	29	55	35	32
ENSG00000231181	14	11	28	3	10
TMEM201	127	137	121	129	116
PIK3CD	166	159	238	206	136
PIK3CD-AS1	1	0	11	2	4
ENSG00000233268	6	2	2	0	0
PIK3CD-AS2	2	1	29	5	0
CLSTN1	1593	1986	755	1406	1202
MZT1P1	0	0	5	0	0
ENSG00000280113	0	0	30	1	0
CTNNBIP1	210	173	68	75	67
ENSG00000223989	2	0	6	0	1
ENSG00000285701	1	0	6	2	1
LZIC	226	253	94	155	120
ENSG00000228150	2	5	5	0	2
NMNAT1	133	111	51	44	61
RN7SKP269	26	13	12	16	15
TMEM274P	7	0	15	15	1
MIR5697	0	8	1	0	2
ENSG00000241326	0	0	0	0	0
RBP7	7	16	21	5	2
UBE4B	870	747	395	655	537
ENSG00000224340	0	0	0	0	0
PGAM1P11	6	7	10	4	4
RNU6-828P	1	1	1	0	0
KIF1B	1444	1475	672	1104	881
ENSG00000264881	0	0	4	0	0
RNU6-37P	0	4	1	0	0
RN7SL731P	0	0	0	0	0
ENSG00000284735	7	2	24	5	1
ENSG00000284642	3	2	10	0	6
PGD	1663	1470	307	540	437
ENSG00000271989	4	0	2	0	0
CENPS-CORT	0	0	0	5	0
CENPS	2	0	5	3	1
CORT	0	4	10	2	0
DFFA	403	436	126	279	241
ENSG00000203469	0	0	2	0	0
PEX14	147	179	105	148	111
ENSG00000287727	0	2	20	10	4
RN7SL614P	0	6	1	10	7
CASZ1	1303	1154	347	458	405
ENSG00000272078	31	46	83	14	20
HSPE1P24	0	0	0	0	0
C1orf127	5	5	72	25	23
CFL1P6	0	0	5	10	0
TARDBP	889	790	292	645	487
MASP2	0	2	40	8	5
SRM	157	189	133	228	160
EXOSC10	565	602	319	729	513
ENSG00000226849	14	3	29	17	7
EXOSC10-AS1	0	0	11	0	0
MTOR	800	979	603	926	673
MTOR-AS1	5	0	13	2	7
RNU6-537P	0	0	0	1	0
ANGPTL7	2	13	28	11	5
RNU6-291P	0	0	0	0	3
RPL39P6	0	0	1	4	1
UBIAD1	152	135	124	79	72
UBE2V2P3	0	0	0	0	0
ENSG00000284646	0	7	21	9	4
MTCYBP45	1	0	1	0	3
DISP3	18	5	76	16	14
ENSG00000285833	4	0	2	3	0
LINC01647	4	0	26	14	0
ENSG00000284708	0	0	32	6	3
FBXO2	82	106	124	160	153
FBXO44	212	301	131	364	313
MAD2L2	53	86	113	134	117
FBXO6	33	55	38	32	41
DRAXIN	5	2	65	46	39
AGTRAP	219	274	201	355	214
C1orf167	28	20	74	45	28
C1orf167-AS1	0	0	19	1	2
MTHFR	1218	1243	399	829	643
CLCN6	528	571	271	370	333
ENSG00000276470	0	0	0	0	0
ENSG00000278852	0	0	0	0	0
NPPA	5	0	4	8	3
ENSG00000275915	0	0	0	0	0
NPPB	0	0	4	3	2
SBF1P2	3	1	16	1	0
ENSG00000285646	3	2	45	14	17
RNU5E-1	0	0	0	0	0
RNU5E-4P	0	0	1	2	0
KIAA2013	281	260	174	237	195
PLOD1	389	410	422	580	394
ENSG00000287384	0	0	12	6	4
MFN2	879	864	399	652	573
ENSG00000270914	0	0	5	0	0
MIIP	176	146	86	123	111
Y_RNA	0	0	0	0	0
MIR6729	0	0	0	0	0
RN7SL649P	0	2	5	0	0
TNFRSF8	13	17	79	22	28
RNU6-777P	0	0	0	0	0
RPL23AP89	0	0	7	0	1
ENSG00000285604	3	0	11	12	2
MIR7846	0	0	0	0	0
TNFRSF1B	820	1066	414	423	399
MIR4632	1	0	0	6	1
RPL10P17	0	0	1	2	0
SNORA70	0	0	1	0	0
VPS13D	3521	3433	1239	2762	2321
SNORA59A	0	7	0	4	3
LINC02766	18	3	33	7	2
DHRS3	422	449	193	260	201
RNU6ATAC18P	0	0	7	3	0
MIR6730	3	4	0	0	0
ENSG00000288927	9	3	2	0	2
ENSG00000272482	2	9	27	0	19
AADACL4	2	5	53	6	8
ENSG00000226166	0	0	0	0	1
AADACL3	0	2	32	5	18
CFAP107	20	17	48	12	6
PRAMEF12	2	0	20	0	3
PRAMEF1	0	1	38	8	10
LINC01784	0	0	2	0	0
PRAMEF11	0	4	14	8	1
PRAMEF30P	0	5	31	18	8
HNRNPCL1	0	2	18	5	1
PRAMEF2	0	1	11	14	6
PRAMEF4	1	6	30	7	7
PRAMEF10	6	0	15	2	7
PRAMEF7	0	0	3	0	0
RNU6-1072P	0	0	0	0	0
PRAMEF29P	0	0	0	0	1
PRAMEF6	0	0	9	11	0
PRAMEF28P	0	0	6	5	2
PRAMEF27	0	0	18	4	6
HNRNPCL3	1	0	0	2	3
PRAMEF25	0	0	1	0	0
PRAMEF34P	0	0	0	0	0
PRAMEF35P	3	0	10	6	0
HNRNPCL2	0	0	8	0	1
PRAMEF36P	0	0	0	1	0
ENSG00000233336	0	0	0	0	0
PRAMEF26	0	2	5	0	0
HNRNPCL4	0	0	0	0	0
PRAMEF9	0	0	2	1	0
PRAMEF13	2	0	8	0	0
PRAMEF18	0	0	17	1	4
PRAMEF31P	1	1	24	9	10
PRAMEF5	0	0	0	0	0
PRAMEF32P	0	0	0	0	0
RNU6-771P	0	0	0	0	0
PRAMEF8	0	0	10	0	2
PRAMEF33	0	1	8	1	2
PRAMEF15	0	8	22	5	7
ENSG00000228229	0	0	2	2	0
PRAMEF14	0	0	21	2	6
PRAMEF19	0	3	13	1	7
PRAMEF17	5	2	23	1	4
PRAMEF20	0	0	10	4	3
LRRC38	2	0	21	3	3
ENSG00000259961	0	0	2	0	0
BRWD1P1	0	2	1	1	0
PDPN	62	88	43	37	28
RNA5SP41	0	0	0	0	0
ENSG00000237445	1	0	2	3	4
ENSG00000253085	0	1	0	0	3
PRDM2	1081	994	366	662	622
ENSG00000289380	8	2	4	10	1
KAZN	150	149	136	62	66
RNU6-1265P	0	0	0	3	0
ENSG00000231606	3	1	14	0	4
KAZN-AS1	7	1	43	7	17
TBCAP2	1	0	2	3	0
ENSG00000287756	5	6	20	4	1
TMEM51-AS1	83	171	103	34	18
TMEM51	111	122	64	77	56
TMEM51-AS2	0	0	3	0	1
MFFP1	0	0	6	1	1
ZBTB2P1	6	0	11	1	2
FHAD1	374	200	218	70	61
FHAD1-AS1	5	0	34	10	7
ENSG00000236045	0	0	4	0	0
EFHD2-AS1	3	4	29	13	5
EFHD2	883	915	391	611	499
CTRC	5	10	55	22	18
CELA2A	0	0	22	10	1
CELA2B	0	0	9	2	5
CASP9	327	351	321	688	568
DNAJC16	553	541	208	306	256
SCARNA21B	7	1	8	0	0
ENSG00000272510	13	9	2	3	0
AGMAT	11	18	39	14	15
ENSG00000237301	8	2	25	3	1
CHCHD2P6	3	2	6	2	5
RNU7-179P	0	0	0	0	0
CD24P1	0	0	1	0	0
DDI2	1130	1105	382	692	556
RSC1A1	0	0	4	1	2
ENSG00000271742	0	0	3	4	0
PLEKHM2	936	1066	550	982	750
ENSG00000237938	6	14	9	11	9
SLC25A34	71	44	26	14	5
SLC25A34-AS1	1	2	8	0	0
TMEM82	9	20	44	8	4
FBLIM1	591	736	133	221	156
RPL12P14	1	3	7	3	1
UQCRHL	9	26	47	14	19
ENSG00000178715	14	20	18	23	13
SPEN-AS1	14	16	25	17	14
SPEN	2767	2797	1461	2878	2386
ENSG00000270620	0	0	1	0	0
ZBTB17	182	238	193	202	193
ENSG00000234607	0	0	4	0	1
ENSG00000231353	0	0	0	0	0
ENSG00000275503	0	0	7	3	1
TBC1D3P6	10	0	23	7	1
SRARP	8	5	31	4	5
ENSG00000233078	0	1	6	0	0
HSPB7	16	36	22	7	8
CLCNKA	12	3	57	27	5
ENSG00000232456	1	0	6	4	0
CLCNKB	5	6	66	12	4
FAM131C	23	19	23	8	28
EPHA2	1508	1967	2120	3755	3151
EPHA2-AS1	27	20	36	20	15
ENSG00000224621	22	26	10	7	9
ARHGEF19-AS1	0	0	8	5	0
ARHGEF19	74	87	84	125	79
ANO7L1	26	55	34	27	10
ENSG00000288398	96	71	61	38	29
CPLANE2	46	50	10	10	7
MT1XP1	0	0	0	0	0
FBXO42	212	226	186	292	241
SZRD1	1099	1357	550	946	724
RPL22P3	0	0	5	1	1
SPATA21	9	12	49	30	24
NECAP2	525	424	252	354	319
LINC01772	25	32	28	21	13
CROCCP3	226	203	78	105	88
RNU1-1	21	7	9	8	11
ENSG00000261135	0	0	1	0	0
ENSG00000285853	1	12	4	0	9
ENSG00000224174	0	0	1	0	0
LINC01783	0	7	24	9	2
RNU1-6P	0	0	1	0	0
PDE4DIPP8	0	0	9	1	8
NBPF1	423	425	344	286	242
ENSG00000271732	0	0	5	0	0
CROCCP2	557	629	289	489	360
ENSG00000283773	0	0	0	0	0
MST1P2	270	290	109	100	110
ENSG00000282143	0	0	1	0	2
RNU1-3	0	1	1	0	0
ENSG00000280114	16	6	35	31	23
EIF1AXP1	2	1	1	0	4
ESPNP	5	3	101	48	30
ENSG00000279151	0	0	10	0	0
ENSG00000282740	31	30	16	35	9
CROCC	474	489	226	354	281
CROCCP4	0	0	5	2	0
RNU1-4	0	0	0	0	0
MST1L	466	534	146	338	273
ENSG00000223643	0	0	0	0	0
PDE4DIPP9	1	2	13	6	8
MIR3675	0	0	1	0	0
ENSG00000228549	1	3	59	19	15
RNU1-5P	0	0	0	0	0
ENSG00000238142	7	49	32	27	28
ENSG00000235241	0	1	7	2	5
RNU1-2	0	0	1	4	0
ENSG00000272426	0	0	12	0	0
ENSG00000290122	0	0	3	10	0
MFAP2	23	43	47	18	13
ENSG00000286898	0	0	1	2	1
ENSG00000226526	3	0	12	0	0
ATP13A2	544	552	214	298	206
ENSG00000288636	0	0	0	0	0
SDHB	141	143	130	113	104
PADI2	112	90	118	71	51
LINC02783	4	8	74	10	11
ENSG00000282843	0	0	22	5	3
PADI1	18	8	77	33	12
PADI3	0	1	44	24	13
MIR3972	0	0	0	1	0
PADI4	48	11	61	25	9
PADI6	0	0	33	19	9
RCC2-AS1	0	0	6	1	3
RCC2	785	806	275	570	460
ENSG00000290096	0	0	2	0	0
ARHGEF10L	465	553	228	373	278
LINC02810	0	0	13	6	6
ACTL8	0	0	6	3	7
ENSG00000284653	9	1	13	19	3
LINC01654	4	9	37	9	17
IGSF21	8	20	41	11	15
ENSG00000280222	8	10	62	17	36
IGSF21-AS1	0	4	11	0	4
ENSG00000225387	0	0	1	8	1
KLHDC7A	50	55	41	7	9
DYNLL1P3	3	0	12	2	2
ENSG00000225478	0	0	5	0	0
PAX7	9	8	84	16	12
TAS1R2	19	7	36	16	13
ALDH4A1	118	119	90	58	31
MIR4695	0	0	0	0	0
MIR1290	0	0	1	0	0
IFFO2	229	233	134	134	139
ENSG00000272084	18	17	35	10	27
UBR4	4165	4669	3004	5160	4141
EMC1-AS1	3	16	24	9	11
EMC1	360	349	271	356	298
MRTO4	59	132	85	72	71
ENSG00000286064	7	7	7	7	11
AKR7L	49	43	34	22	19
AKR7A3	53	94	30	18	9
ENSG00000270728	7	5	7	1	4
AKR7A2	66	91	78	94	72
RNU6-1099P	0	0	2	0	0
SLC66A1	68	58	47	51	39
CAPZB	982	920	626	855	715
RN7SL277P	2	1	6	0	0
MICOS10	57	96	43	48	32
RNU4-28P	0	0	0	0	0
MICOS10-DT	0	0	6	2	2
NBL1	1409	1738	495	1110	793
MICOS10-NBL1	0	0	2	2	0
ENSG00000226396	13	19	20	21	18
HTR6	2	9	49	3	4
TMCO4	225	321	116	228	203
RNF186	0	3	13	4	7
RNF186-AS1	0	1	9	1	0
OTUD3	222	251	184	293	265
PLA2G2E	1	5	13	2	6
RN7SL304P	0	0	3	0	0
PLA2G2A	139	374	31	20	4
PLA2G5	7	21	62	30	31
PLA2G2D	1	0	19	13	3
PLA2G2F	5	5	88	20	16
ENSG00000227066	12	7	24	5	11
PLA2G2C	3	2	46	28	18
UBXN10	376	277	59	48	29
LINC01757	0	0	6	10	0
ENSG00000284710	2	0	15	4	5
VWA5B1	24	13	117	57	17
ENSG00000226664	0	0	3	2	1
LINC01141	7	8	105	45	21
ENSG00000226487	0	0	4	7	0
ENSG00000284641	0	0	8	5	2
ENSG00000284743	0	0	9	2	4
CAMK2N1	240	359	62	119	79
ENSG00000289402	1	2	1	3	3
MUL1	323	298	70	142	104
RPS4XP4	0	0	12	0	0
FAM43B	5	9	17	6	4
CDA	32	51	177	279	193
PINK1	370	372	215	269	189
MIR6084	0	0	0	0	0
PINK1-AS	75	54	75	34	29
DDOST	304	337	333	438	347
KIF17	61	40	83	20	9
ENSG00000235432	0	0	15	0	2
SH2D5	0	2	62	23	16
ENSG00000233069	0	0	8	3	5
HP1BP3	4037	5113	1648	4427	3487
EIF4G3	1574	1855	558	1513	1023
RNU7-200P	0	0	0	0	0
MIR1256	0	0	0	0	0
RPS15AP6	9	1	0	0	9
ENSG00000236073	1	10	8	7	4
HSPE1P27	0	0	0	0	0
ENSG00000287192	3	1	23	10	1
ECE1	1055	1225	455	774	553
ENSG00000236936	0	0	11	9	1
ECE1-AS1	1	0	21	15	5
PPP1R11P1	0	1	4	0	2
PDE4DIPP10	6	0	11	2	13
ENSG00000236009	0	0	8	9	3
NBPF2P	0	10	22	11	17
HS6ST1P1	12	6	3	2	4
CROCCP5	6	0	11	1	1
NBPF3	125	128	135	75	77
PFN1P10	0	0	3	0	0
ALPL	181	109	45	29	20
ENSG00000289715	0	1	1	1	0
LINC02596	0	0	6	6	4
RAP1GAP	952	1100	214	210	169
USP48	678	739	416	830	598
ENSG00000231978	0	0	2	0	0
LDLRAD2	1	3	51	13	27
HSPG2	4061	6840	2056	4157	3279
ENSG00000232037	1	2	4	2	1
ENSG00000283234	1	1	8	22	5
CELA3B	5	0	25	4	0
ENSG00000285959	0	0	1	0	0
RN7SL386P	0	0	3	0	0
RNU6-1022P	0	0	0	0	0
CELA3A	0	0	3	0	0
RN7SL186P	0	0	0	0	0
RNU6-776P	0	0	0	0	0
LINC01635	1	0	12	1	6
LINC00339	45	48	35	45	42
ENSG00000289694	0	0	0	0	0
CDC42-AS1	0	0	15	4	1
ENSG00000285794	0	0	0	0	0
CDC42	291	369	256	219	310
CDC42-IT1	1	5	12	3	7
MPHOSPH6P1	0	1	7	0	0
WNT4	19	20	34	4	16
ENSG00000285873	6	1	16	5	3
MIR4418	0	0	5	0	1
PPIAP34	1	0	0	0	0
ENSG00000279625	0	0	11	2	0
ZBTB40	655	655	339	468	480
ZBTB40-IT1	12	16	9	21	9
EPHA8	0	3	52	16	11
MIR6127	0	0	1	0	0
C1QA	94	41	26	10	5
ENSG00000289692	0	0	0	0	0
C1QC	328	127	11	33	39
C1QB	450	251	34	60	46
EPHB2	99	155	113	69	28
MIR4684	0	0	6	0	0
ENSG00000225952	0	0	4	0	0
MIR4253	0	0	4	0	0
LACTBL1	1	0	17	4	2
TEX46	0	0	22	4	5
KDM1A	447	425	360	439	376
ENSG00000240553	0	4	8	8	1
MIR3115	0	0	1	2	0
ENSG00000266802	0	0	0	0	2
LUZP1	487	620	231	437	417
ENSG00000229010	0	0	1	0	0
RNU6-514P	0	0	1	0	0
RNU6-135P	0	1	3	0	2
ENSG00000289014	34	23	18	14	25
HTR1D	91	92	38	28	16
ENSG00000215381	0	1	3	1	0
LINC01355	92	113	48	63	52
ENSG00000284726	0	0	11	1	7
HNRNPR	765	767	315	592	488
ZNF436	163	251	103	165	104
ZNF436-AS1	3	12	29	32	13
Y_RNA	0	0	0	0	0
ENSG00000271420	2	0	7	2	1
TCEA3	440	493	256	543	461
ENSG00000232482	0	0	3	0	0
ASAP3	237	236	109	100	47
E2F2	46	42	52	49	41
ENSG00000235052	0	4	10	1	7
ID3	116	153	44	63	93
ENSG00000285802	0	0	6	2	2
MDS2	6	3	16	7	12
ENSG00000229239	0	1	16	5	1
RPL11	1114	1225	1870	1838	1522
ELOA-AS1	11	30	33	19	18
ELOA	455	467	258	393	380
PITHD1	81	139	98	95	99
ENSG00000289835	0	0	0	1	0
LYPLA2	303	242	115	231	137
